Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Elk Grove,Sacramento,,,CA,41,38.41,-121.37
Emmaton,Sacramento,,,CA,12,38.08,-121.73
Florin,Sacramento,,,CA,20,38.50,-121.41
Folsom City,Sacramento,,,CA,360,38.68,-121.18
Franklin,Sacramento,,,CA,25,38.38,-121.45
Freeport,Sacramento,,,CA,18,38.48,-121.49
Galt,Sacramento,,,CA,12,38.25,-121.30
Michigan Bar,Sacramento,,,CA,88,38.48,-121.05
Mills,Sacramento,,,CA,12,38.60,-121.30
Mormon Island,Sacramento,,,CA,42,38.70,-121.12
Richland,Sacramento,,,CA,35,38.37,-121.52
Sacramento,Sacramento,,,CA,4000,38.56,-121.47
Sheldon,Sacramento,,,CA,12,38.43,-121.30
Union House,Sacramento,,,CA,12,38.47,-121.45
Walnut Grove,Sacramento,,,CA,20,38.24,-121.51
Hollister,San Benito,Monterey,,CA,400,36.85,-121.40
San Benito,San Benito,Monterey,,CA,12,36.80,-121.37
San Juan,San Benito,Monterey,,CA,350,36.84,-121.53
Tres Pinos,San Benito,Monterey,,CA,12,36.79,-121.32
Cucamonga,San Bernardino,,,CA,12,34.10,-117.59
San Bernardino,San Bernardino,Los Angeles,,CA,460,34.13,-117.29
Ballena,San Diego,,,CA,12,33.07,-116.75
Campo,San Diego,,,CA,12,32.62,-116.47
Julian,San Diego,,,CA,12,33.08,-116.60
Milguatay,San Diego,,,CA,9,32.85,-116.56
National City,San Diego,,,CA,12,32.67,-117.10
North San Diego,San Diego,,,CA,150,32.75,-117.19
Oak Grove,San Diego,,,CA,12,33.39,-116.79
Otay,San Diego,,,CA,12,32.59,-117.06
Poway,San Diego,,,CA,12,33.00,-117.02
San Diego,San Diego,,,CA,150,33.21,-116.80
San Luis Rey,San Diego,,,CA,58,33.23,-117.32
Warner's Ranch,San Diego,,,CA,12,33.24,-116.67
San Francisco,San Francisco,,,CA,4000,37.77,-122.42
Atlanta,San Joaquin,,,CA,18,37.81,-121.12
Banta,San Joaquin,,,CA,12,37.75,-121.37
Burwood,San Joaquin,,,CA,14,37.76,-120.96
Collegeville,San Joaquin,,,CA,12,37.90,-121.15
Farmington,San Joaquin,,,CA,79,37.93,-121.00
Liberty,San Joaquin,,,CA,93,38.13,-121.28
Linden,San Joaquin,,,CA,23,38.02,-121.08
Lockeford,San Joaquin,,,CA,95,38.16,-121.15
Lodi,San Joaquin,,,CA,12,38.13,-121.27
Meinecke,San Joaquin,,,CA,12,,
Peters,San Joaquin,,,CA,12,37.98,-121.05
Stockton,San Joaquin,,,CA,3600,37.96,-121.29
Tracy,San Joaquin,,,CA,12,37.74,-121.43
Waterloo,San Joaquin,,,CA,17,38.03,-121.19
Woodbridge,San Joaquin,,,CA,120,38.15,-121.30
Arroyo Grande,San Luis Obispo,,,CA,12,35.12,-120.58
Berros Creek,San Luis Obispo,,,CA,12,35.11,-120.59
Cambria,San Luis Obispo,,,CA,39,35.56,-121.08
Cayucos,San Luis Obispo,,,CA,12,35.45,-120.90
Morro,San Luis Obispo,,,CA,12,35.37,-120.85
Paso Robles,San Luis Obispo,,,CA,12,35.63,-120.69
San Luis Obispo,San Luis Obispo,,,CA,590,35.28,-120.65
San Miguel,San Luis Obispo,,,CA,100,35.75,-120.70
Santa Margarita,San Luis Obispo,,,CA,12,35.39,-120.61
Belmont,San Mateo,San Francisco,,CA,16,37.52,-122.28
Colma,San Mateo,,,CA,12,37.69,-122.46
Half Moon Bay,San Mateo,,,CA,200,37.46,-122.43
Menlo Park,San Mateo,,,CA,12,37.45,-122.18
Millbrae,San Mateo,,,CA,12,37.60,-122.40
Pescadero,San Mateo,,,CA,160,37.25,-122.37
Redwood City,San Mateo,San Francisco,,CA,360,37.49,-122.24
San Gregorio,San Mateo,,,CA,12,37.33,-122.39
San Mateo,San Mateo,,,CA,210,37.58,-122.33
Searsville,San Mateo,,,CA,53,37.40,-122.25
Woodside,San Mateo,San Francisco,,CA,67,37.44,-122.23
Ballards,Santa Barbara,,,CA,12,34.64,-120.11
Carpinteria,Santa Barbara,,,CA,12,34.39,-119.51
Las Cruces,Santa Barbara,,,CA,12,34.51,-120.23
Santa Barbara,Santa Barbara,,,CA,510,34.43,-119.69
Suey,San Luis Obispo,Santa Barbara,,CA,12,34.96,-120.31
Alma,Santa Clara,,,CA,56,37.19,-121.99
Alviso,Santa Clara,,,CA,45,37.43,-121.98
Coyote,Santa Clara,,,CA,10,37.22,-121.74
Evergreen,Santa Clara,,,CA,12,37.28,-121.75
Gilroy,Santa Clara,,,CA,800,37.01,-121.57
Los Gatos,Santa Clara,,,CA,12,37.22,-121.98
Madrone,Santa Clara,,,CA,12,37.39,-122.02
Mayfield,Santa Clara,,,CA,240,37.42,-122.14
Milpitas,Santa Clara,,,CA,84,37.42,-121.91
Mountain View,Santa Clara,,,CA,110,37.39,-122.08
San Felipe,Santa Clara,,,CA,12,36.97,-121.42
San Isidro,Santa Clara,,,CA,12,37.00,-121.53
San Jose,Santa Clara,,,CA,3400,37.35,-121.87
Santa Clara,Santa Clara,,,CA,980,37.34,-121.94
Saratoga,Santa Clara,,,CA,12,37.26,-122.03
Tennant,Santa Clara,,,CA,12,37.11,-121.63
Aptos,Santa Cruz,,,CA,12,36.98,-121.90
Felton,Santa Cruz,,,CA,12,37.05,-122.07
Santa Cruz,Santa Cruz,Branciforte,,CA,1100,36.98,-122.03
Soquel,Santa Cruz,,,CA,73,36.99,-121.96
Watsonville,Santa Cruz,,,CA,900,36.91,-121.76
Anderson,Shasta,,,CA,20,40.45,-122.30
Ball's Ferry,Shasta,,,CA,12,40.42,-122.19
Bell's Ridge,Shasta,,,CA,12,,
Cottonwood,Shasta,Tehama,,CA,32,40.39,-122.28
French Gulch,Shasta,,,CA,68,40.70,-122.64
Glenburn,Shasta,,,CA,12,41.06,-121.49
Hazel Creek,Shasta,,,CA,12,41.07,-122.36
Horse Town,Shasta,,,CA,17,,
Millville,Shasta,,,CA,120,40.55,-122.17
Shasta,Shasta,,,CA,540,40.59,-122.41
Stillwater,Shasta,,,CA,12,40.49,-122.50
Alleghany,Sierra,,,CA,88,39.47,-120.84
Downieville,Sierra,,,CA,800,39.56,-120.83
Fir Cap,Sierra,,,CA,12,39.62,-120.85
Forest,Sierra,,,CA,80,39.49,-120.85
Gibsonville,Sierra,,,CA,100,39.74,-120.91
Goodyear's Bar,Sierra,,,CA,16,39.54,-120.88
